IdNota;File;Titolo;Categorie;Tag
"C8CD2B1D-F9CB-4AA5-A452-0C23981497E6";"agretti-agli-agrumi.json";"Agretti agli agrumi";"Contorni";"Contorni"
"7288BB5E-4564-4C4D-A0CE-123156D074B6";"focaccia-semplice.json";"Focaccia semplice";"";"Pane e lievitati"
"A8D0EC3C-D9D9-4751-B2A0-14B2C339B916";"tiramis-u-classico.json";"Tiramisù Classico";"Dolci";"Dolci"
"287BB325-2259-433E-A457-165594077418";"focaccia-con-le-cipolle.json";"Focaccia con le cipolle";"";"Pane e lievitati"
"05DEEBD9-2E64-4ED8-AC97-1848EEE3C01C";"frollini-ai-mirtilli.json";"Frollini ai mirtilli";"Dolci";"Dolci, Colazione"
"31846E47-C56B-4A7E-A33E-185EB980B240";"pane-veloce.json";"Pane veloce";"";"Pane e lievitati"
"1DE74A17-816E-4456-863B-1D79C2ED8FD5";"torta-di-caporali-al-marsala-con-crema-al-cioccolato.json";"Torta di Caporali al Marsala con Crema al Cioccolato";"Dolci";"Dolci"
"7C804693-E70B-45C3-AAB8-1E614497F11E";"tagliolini-al-limone.json";"Tagliolini al Limone";"Primi";"Primi"
"4AA03C45-C60A-4A55-98D0-1F45B71405FA";"latte-dolce-genovese.json";"LATTE DOLCE GENOVESE";"Dolci";"Dolci"
"592AD4D5-A953-4825-8E58-2209475A9466";"pesto.json";"Pesto";"";"Condimenti"
"FED533A1-3E5D-4F4E-BA03-241F862712E7";"torta-ai-datteri.json";"Torta ai datteri";"Dolci";"Dolci"
"6DC76556-19A1-473A-BEA1-31ABBDBAB31E";"liquore-alla-liquirizia.json";"Liquore alla Liquirizia";"";"Liquori"
"92EFF6CC-65A6-4EDD-8A12-3476D5930FBE";"sugo-di-carne-alla-genovese.json";"Sugo di Carne alla Genovese";"";"Condimenti"
"CED32721-04DA-4A37-8941-380763A74F38";"zuppa-di-cipolle.json";"Zuppa di Cipolle";"Primi";"Primi"
"F288BD47-9D38-4B74-B478-3C5D07D39148";"ricetta-pollo-kfc.json";"Ricetta Pollo KFC";"Secondi";"Secondi"
"4833F95C-2C96-40CE-AC7A-3CA7FE016E46";"biscotti-pan-di-zenzero.json";"Biscotti pan di zenzero";"Dolci";"Dolci, Snack"
"75E4629A-17BE-45A1-98A0-488FC23B9F97";"pizza-al-taglio-romana.json";"Pizza al Taglio Romana";"";"Pane e lievitati"
"ED859ABC-1EF9-4C4B-9F32-49473C5325F1";"spezzatino.json";"Spezzatino";"Secondi";"Secondi"
"11FEFF22-2AD8-4DFB-843B-50C8F31131FF";"liquore-di-melograno.json";"Liquore di melograno";"";"Liquori"
"5B7E2CF8-C20A-4813-8B78-562B307DAA60";"limoncino-metodo-bressanini.json";"Limoncino metodo Bressanini";"";"Liquori"
"6C6D4A08-A516-4779-910F-6210815CC4AF";"liquore-al-cioccolato-fondente.json";"LIQUORE AL CIOCCOLATO FONDENTE";"";"Liquori"
"37C267C3-E38A-46DE-A81F-63B5E09B8EF6";"vov-liquore-zabaione.json";"Vov - Liquore Zabaione";"";"Liquori"
